density,task,split,mean,std,count
0.2,casehold,test,0.20083333333333334,0.004819264325804861,3
0.2,casehold,val,0.20435897435897435,0.00377715893914262,3
0.2,medmcqa,test,0.2662523900573614,0.008775124163807772,3
0.2,medmcqa,val,0.26622030926191614,0.005765388592388065,3
0.4,casehold,test,0.6525925925925926,0.016718284266233327,3
0.4,casehold,val,0.6665811965811966,0.019365906949105952,3
0.4,medmcqa,test,0.3832058636073932,0.012909260102312994,3
0.4,medmcqa,val,0.3794037940379404,0.018951425909271805,3
0.6,casehold,test,0.737962962962963,0.0065988058528136445,3
0.6,casehold,val,0.7483760683760684,0.012396403937993744,3
0.6,medmcqa,test,0.5031867431485022,0.003650872924598386,3
0.6,medmcqa,val,0.5145863223338115,0.006574714053021311,3
